origin|split_on_leg|drive_leg|avoid|destination|mode|units|timezone|departure_time|split_point|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:12:00-05:00|Government Center|3.6 mi|42.3597135|-71.0591799|n/a|982|-71.118956|42.373362|2.9 mi|42.3747715|-71.0290294|480|531|-71.0597895|42.3596291
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:12:00-05:00|Airport Station|5.6 mi|42.374262|-71.030395|n/a|1494|-71.118956|42.373362|0.6 mi|42.3747715|-71.0290294|110|108|-71.0305389|42.3745164
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:12:00-05:00|Aquarium|4.0 mi|42.3597918|-71.0515702|n/a|1467|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|601|669|-71.0515464|42.3596586
Harvard transit station Boston MA|||tolls|Airport station Boston MA|driving|imperial|eastern|2017-04-12 05:24:00-05:00||10.7 mi|42.3747715|-71.0290294|1428|1541|-71.1191387|42.3736294|||||||
Harvard transit station Boston MA|begin|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:24:00-05:00||5.6 mi|42.374262|-71.030395|n/a|1871|-71.118956|42.373362|||||||
Harvard transit station Boston MA|end|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:24:00-05:00||5.6 mi|42.374262|-71.030395|n/a|1871|-71.118956|42.373362|||||||
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:24:00-05:00|Kendall|2.3 mi|42.3623895|-71.0862031|613|702|-71.1191387|42.3736294|3.7 mi|42.374262|-71.030395|n/a|1335|-71.0862248|42.3622401
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:24:00-05:00|Charles/MGH|2.9 mi|42.3611521|-71.070619|751|852|-71.1191387|42.3736294|2.7 mi|42.374262|-71.030395|n/a|1038|-71.0705298|42.3611271
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:24:00-05:00|Harvard|20 ft|42.3732593|-71.1187348|1|2|-71.1186766|42.3732897|5.6 mi|42.374262|-71.030395|n/a|1794|-71.118956|42.373362
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:24:00-05:00|Central|1.0 mi|42.3653463|-71.103606|342|431|-71.1186766|42.3732897|4.7 mi|42.374262|-71.030395|n/a|1436|-71.103802|42.365486
