origin|avoid|destination|mode|units|departure_time|distance|end_y|start_y|duration-sec|start_x|duration_in_traffic-sec|duration|end_x|duration_in_traffic
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 04:00:00.054013|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1083|26 mins|-73.8717269|18 mins
New York University||LaGuardia Airport|transit|imperial|2017-03-22 04:00:00.840358|12.4 mi|40.7718585|40.7284833|3138|-73.99437209999999|n/a|52 mins|-73.8716326|n/a
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 04:05:00.082956|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1101|26 mins|-73.8717269|18 mins
New York University||LaGuardia Airport|transit|imperial|2017-03-22 04:05:00.489068|12.3 mi|40.7718585|40.7284833|3069|-73.99437209999999|n/a|51 mins|-73.8716326|n/a
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 04:10:00.087034|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1122|26 mins|-73.8717269|19 mins
New York University||LaGuardia Airport|transit|imperial|2017-03-22 04:10:00.503149|11.3 mi|40.7718585|40.7285304|3501|-73.99433259999999|n/a|58 mins|-73.8716326|n/a
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 04:15:00.098133|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1108|26 mins|-73.8717269|18 mins
New York University||LaGuardia Airport|transit|imperial|2017-03-22 04:15:01.229895|11.3 mi|40.7718585|40.7285304|3501|-73.99433259999999|n/a|58 mins|-73.8716326|n/a
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 04:20:00.098408|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1104|26 mins|-73.8717269|18 mins
New York University||LaGuardia Airport|transit|imperial|2017-03-22 04:20:01.048996|12.5 mi|40.7718585|40.7285304|3301|-73.99433259999999|n/a|55 mins|-73.8716326|n/a
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 04:25:00.092926|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1085|26 mins|-73.8717269|18 mins
New York University||LaGuardia Airport|transit|imperial|2017-03-22 04:25:00.514670|12.4 mi|40.7718585|40.7284833|3018|-73.99437209999999|n/a|50 mins|-73.8716326|n/a
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 04:30:00.087886|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1120|26 mins|-73.8717269|19 mins
