origin|split_on_leg|avoid|destination|mode|units|timezone|departure_time|split_point|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:20:00-05:00|LaGuardia Airport|12.0 mi|40.774059|-73.87185699999999|n/a|2979|-73.99433259999999|40.7285304|0.2 mi|40.7734912|-73.87585849999999|87|96|-73.8720814|40.7740263
New York University||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-07 04:30:00-05:00||9.9 mi|40.7715416|-73.8717269|1137|1464|-73.99977539999999|40.7271183
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:30:00-05:00||12.4 mi|40.7718584|-73.87163199999999|n/a|3030|-73.99437209999999|40.7284833
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:30:00-05:00||12.4 mi|40.7718584|-73.87163199999999|n/a|3030|-73.99437209999999|40.7284833
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:30:00-05:00|Grand Central - 42 St Station|2.3 mi|40.7522756|-73.9774709|730|931|-73.9932975|40.7295629|10.6 mi|40.7718584|-73.87163199999999|n/a|2114|-73.97761360000001|40.7523191
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:30:00-05:00|23 St|1.1 mi|40.74003099999999|-73.98640879999999|461|529|-73.9932975|40.7295629|11.4 mi|40.7718584|-73.87163199999999|n/a|2486|-73.9863381|40.7400007
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:30:00-05:00|Astor Place Station|0.4 mi|40.7301688|-73.99099249999999|139|169|-73.9932975|40.7295629|12.1 mi|40.7718584|-73.87163199999999|n/a|2726|-73.99107|40.730054
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:30:00-05:00|28 St|1.4 mi|40.7432513|-73.98390549999999|575|675|-73.9932975|40.7295629|11.1 mi|40.7718584|-73.87163199999999|n/a|2486|-73.98386289999999|40.7433087
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:30:00-05:00|33 St|2.1 mi|40.7466223|-73.9818023|680|899|-73.9932975|40.7295629|10.9 mi|40.7718584|-73.87163199999999|n/a|2426|-73.9818873|40.7466576
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:30:00-05:00|Grand Central Terminal|2.1 mi|40.7505727|-73.97600709999999|n/a|935|-73.99437209999999|40.7284833|8.3 mi|40.7715416|-73.8717269|838|885|-73.9760036|40.7505712
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:30:00-05:00|LaGuardia Airport|12.0 mi|40.774038|-73.872079|n/a|2764|-73.99437209999999|40.7284833|0.2 mi|40.7734912|-73.87585849999999|95|96|-73.8720814|40.7740263
New York University||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-07 04:40:00-05:00||9.9 mi|40.7715416|-73.8717269|1135|1464|-73.99977539999999|40.7271183
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:40:00-05:00||11.7 mi|40.7718584|-73.87163199999999|n/a|2836|-73.99433259999999|40.7285304
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:40:00-05:00||11.7 mi|40.7718584|-73.87163199999999|n/a|2836|-73.99433259999999|40.7285304
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:40:00-05:00|West 4 Street - Washington Square Station|0.2 mi|40.73101|-74.0013002|132|130|-74.0001873|40.7313277|11.3 mi|40.7718584|-73.87163199999999|n/a|2557|-74.0012201|40.7311041
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:40:00-05:00|47-50 Streets - Rockefeller Center Station|2.5 mi|40.7578741|-73.9819016|647|1035|-73.99977539999999|40.7271183|9.2 mi|40.7718584|-73.87163199999999|n/a|2077|-73.98179069999999|40.7578276
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:40:00-05:00|Roosevelt Av - Jackson Heights Subway Station|7.5 mi|40.7465008|-73.8910021|1135|1453|-73.99977539999999|40.7271183|3.7 mi|40.7718584|-73.87163199999999|n/a|882|-73.8907842|40.7466375
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:40:00-05:00|Northern Blvd|8.0 mi|40.7530768|-73.9069949|1241|1566|-73.99977539999999|40.7271183|4.6 mi|40.7718584|-73.87163199999999|n/a|1537|-73.9071013|40.7531039
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:40:00-05:00|Lexington Av - 63 St Subway Station|3.3 mi|40.76478729999999|-73.9664645|1173|1391|-73.9932975|40.7295629|8.0 mi|40.7718584|-73.87163199999999|n/a|1837|-73.96611299999999|40.764629
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:40:00-05:00|21 St - Queensbridge|4.7 mi|40.754101|-73.9423347|1208|1439|-73.9932975|40.7295629|6.5 mi|40.7718584|-73.87163199999999|n/a|1597|-73.94247419999999|40.75417770000001
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:40:00-05:00|74 St/Roosevelt Av Station|8.2 mi|40.746543|-73.890732|n/a|1722|-73.99433259999999|40.7285304|2.9 mi|40.7715416|-73.8717269|367|403|-73.890765|40.7464059
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:40:00-05:00|LaGuardia Airport|11.3 mi|40.774059|-73.87185699999999|n/a|2499|-73.99433259999999|40.7285304|0.2 mi|40.7734912|-73.87585849999999|85|96|-73.8720814|40.7740263
New York University||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-07 04:50:00-05:00||9.9 mi|40.7715416|-73.8717269|1184|1464|-73.99977539999999|40.7271183
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:50:00-05:00||11.7 mi|40.7718584|-73.87163199999999|n/a|3016|-73.99433259999999|40.7285304
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:50:00-05:00||11.7 mi|40.7718584|-73.87163199999999|n/a|3016|-73.99433259999999|40.7285304
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:50:00-05:00|West 4 Street - Washington Square Station|0.2 mi|40.73101|-74.0013002|119|130|-74.0001873|40.7313277|11.3 mi|40.7718584|-73.87163199999999|n/a|2737|-74.0012201|40.7311041
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:50:00-05:00|47-50 Streets - Rockefeller Center Station|2.5 mi|40.7578741|-73.9819016|660|1035|-73.99977539999999|40.7271183|9.2 mi|40.7718584|-73.87163199999999|n/a|2257|-73.98179069999999|40.7578276
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:50:00-05:00|Roosevelt Av - Jackson Heights Subway Station|7.5 mi|40.7465008|-73.8910021|1130|1453|-73.99977539999999|40.7271183|3.6 mi|40.7718584|-73.87163199999999|n/a|817|-73.890689|40.746515
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:50:00-05:00|Northern Blvd|8.0 mi|40.7530768|-73.9069949|1223|1566|-73.99977539999999|40.7271183|4.6 mi|40.7718584|-73.87163199999999|n/a|1777|-73.9071013|40.7531039
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:50:00-05:00|Lexington Av - 63 St Subway Station|3.3 mi|40.76478729999999|-73.9664645|1050|1391|-73.9932975|40.7295629|8.0 mi|40.7718584|-73.87163199999999|n/a|2017|-73.96611299999999|40.764629
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:50:00-05:00|21 St - Queensbridge|4.5 mi|40.754101|-73.9423347|1169|1361|-73.9932975|40.7295629|6.5 mi|40.7718584|-73.87163199999999|n/a|1777|-73.94247419999999|40.75417770000001
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:50:00-05:00|74 St/Roosevelt Av Station|8.5 mi|40.746543|-73.890732|n/a|1782|-73.99433259999999|40.7285304|2.9 mi|40.7715416|-73.8717269|464|403|-73.890765|40.7464059
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:50:00-05:00|LaGuardia Airport|11.3 mi|40.774059|-73.87185699999999|n/a|2679|-73.99433259999999|40.7285304|0.2 mi|40.7734912|-73.87585849999999|89|96|-73.8720814|40.7740263
New York University||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-07 05:00:00-05:00||9.9 mi|40.7715416|-73.8717269|1159|1464|-73.99977539999999|40.7271183
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 05:00:00-05:00||11.5 mi|40.7718584|-73.87163199999999|n/a|3576|-73.99433259999999|40.7285304
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 05:00:00-05:00||11.5 mi|40.7718584|-73.87163199999999|n/a|3576|-73.99433259999999|40.7285304
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 05:00:00-05:00|West 4 Street - Washington Square Station|0.2 mi|40.73101|-74.0013002|114|130|-74.0001873|40.7313277|11.3 mi|40.7718584|-73.87163199999999|n/a|2737|-74.0012201|40.7311041
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 05:00:00-05:00|39 Avenue Station|4.8 mi|40.7526945|-73.932906|1318|1539|-73.9932975|40.7295629|6.6 mi|40.7718584|-73.87163199999999|n/a|2034|-73.932906|40.7526945
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 05:00:00-05:00|Lexington Av/53 St|3.2 mi|40.7575974|-73.9691429|967|1230|-73.9932975|40.7295629|7.6 mi|40.7718584|-73.87163199999999|n/a|2517|-73.969055|40.757552
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 05:00:00-05:00|7th Avenue|3.0 mi|40.7628613|-73.98164059999999|818|1282|-73.99977539999999|40.7271183|8.3 mi|40.7718584|-73.87163199999999|n/a|2637|-73.98163699999999|40.762862
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 05:00:00-05:00|Roosevelt Av - Jackson Heights Subway Station|7.6 mi|40.7465008|-73.8910021|1119|1448|-73.9932975|40.7295629|3.6 mi|40.7718584|-73.87163199999999|n/a|817|-73.890689|40.746515
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 05:00:00-05:00|Court Square-23 Street Station|4.0 mi|40.7480716|-73.9471688|1090|1204|-73.9932975|40.7295629|6.2 mi|40.7718584|-73.87163199999999|n/a|2337|-73.9472068|40.74795599999999
