origin|split_on_leg|drive_leg|avoid|destination|mode|units|timezone|departure_time|split_point|distance_mi|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y|distance_mi|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:40:00-05:00|Massachusetts Ave @ Sidney St|1.5|42.3629653|-71.0995685|523|590|-71.1196369|42.3650474|5.6|42.374262|-71.030395||1653|-71.099509|42.362804
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:40:00-05:00|Massachusetts Ave @ Trowbridge St|1.3|42.370208|-71.1130831|440|488|-71.1196369|42.3650474|6.5|42.374262|-71.030395||2074|-71.113514|42.370044
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:40:00-05:00|Massachusetts Avenue/Landsdowne St.|2.1|42.3615322|-71.0980015|545|595|-71.1196369|42.3650474|5.5|42.374262|-71.030395||1742|-71.0980015|42.3615322
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:40:00-05:00|Massachusetts Ave @ Pearl St|1.2|42.3649836|-71.1029969|459|505|-71.1196369|42.3650474|4.7|42.374262|-71.030395||1450|-71.1029969|42.3649836
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:40:00-05:00|Massachusetts Ave @ Hancock St|1.5|42.3683237|-71.1086749|475|531|-71.1196369|42.3650474|6.2|42.374262|-71.030395||1970|-71.108936|42.36835
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:40:00-05:00|State|7|42.3586|-71.057309||2103|-71.1196369|42.3650474|3.1|42.3747715|-71.0290294|590|641|-71.0571914|42.3586696
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:40:00-05:00|Maverick|8.2|42.3691186|-71.0395296||2703|-71.1196369|42.3650474|1.4|42.3747715|-71.0290294|307|318|-71.0396719|42.3691933
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:40:00-05:00|Aquarium|7.3|42.3597918|-71.0515702||2513|-71.1196369|42.3650474|3.1|42.3747715|-71.0290294|609|669|-71.0515464|42.3596586
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:40:00-05:00|Airport Station|8.9|42.374262|-71.030395||2823|-71.1196369|42.3650474|0.6|42.3747715|-71.0290294|104|108|-71.0305389|42.3745164
Harvard transit station Boston MA|||tolls|Airport station Boston MA|driving|imperial|eastern|2017-04-07 04:50:00-05:00||9.8|42.3747715|-71.0290294|1309|1388|-71.1196369|42.3650474|||||||
Harvard transit station Boston MA|begin|||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:50:00-05:00||5.4|42.374262|-71.030395||2509|-71.1196369|42.3650474|||||||
Harvard transit station Boston MA|end|||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:50:00-05:00||5.9|42.374262|-71.030395||2027|-71.1196369|42.3650474|||||||
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:50:00-05:00|Kendall|3.1|42.3623895|-71.0862031|631|700|-71.1196369|42.3650474|3.7|42.374262|-71.030395||1154|-71.0862248|42.3622401
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:50:00-05:00|Charles/MGH|3.4|42.3611521|-71.070619|711|766|-71.1196369|42.3650474|2.7|42.374262|-71.030395||1050|-71.0705298|42.3611271
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:50:00-05:00|Central|1.2|42.3653463|-71.103606|444|481|-71.1196369|42.3650474|4.7|42.374262|-71.030395||1396|-71.103802|42.365486
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:50:00-05:00|Park Street|4.2|42.3563193|-71.0622047|730|793|-71.1196369|42.3650474|2.3|42.374262|-71.030395||837|-71.0623081|42.3563808
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:50:00-05:00|State|4.1|42.3586466|-71.057326||1536|-71.1196369|42.3650474|3.1|42.3747715|-71.0290294|591|641|-71.0571914|42.3586696
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:50:00-05:00|Maverick|5.3|42.3691186|-71.0395296||1904|-71.1196369|42.3650474|1.4|42.3747715|-71.0290294|311|318|-71.0396719|42.3691933
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:50:00-05:00|Government Center|3.9|42.3597135|-71.0591799||1427|-71.1196369|42.3650474|2.9|42.3747715|-71.0290294|493|531|-71.0597895|42.3596291
