origin|split_on_leg|driver_leg|avoid|destination|mode|units|timezone|departure_time|split_point|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 09:30:00-05:00|40.7623826/-73.9863368|40.7623826|-73.9863368|1025|5857|1259|-73.9997754|40.7271183|40.774059|-73.871857|n/a|14178|1920|-73.9862468|40.7625048
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 09:45:00-05:00|40.746543/-73.890732|40.746543|-73.890732|n/a|13704|1902|-73.9943326|40.7285304|40.7714389|-73.8718939|384|4624|414|-73.890765|40.7464059
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 09:45:00-05:00|40.774059/-73.871857|40.774059|-73.871857|n/a|18737|2739|-73.9943326|40.7285304|40.7734911|-73.8758586|85|334|96|-73.8720814|40.7740263
New York University|||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 10:00:00-05:00||40.7714389|-73.8718939|1520|15864|1475|-73.9997754|40.7271183|||||||
New York University|||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 10:15:00-05:00||40.774059|-73.871857|n/a|18252|2619|-73.9943326|40.7285304|||||||
New York University|||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 10:30:00-05:00||40.774059|-73.871857|n/a|18252|2619|-73.9943326|40.7285304|||||||
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 10:15:00-05:00|40.73101/-74.0013002|40.73101|-74.0013002|113|254|130|-74.0001873|40.7313277|40.774059|-73.871857|n/a|17606|2340|-74.0012201|40.7311041
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 10:15:00-05:00|40.7578741/-73.9819016|40.7578741|-73.9819016|1061|4036|1035|-73.9997754|40.7271183|40.774059|-73.871857|n/a|14210|1800|-73.9817907|40.7578276
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 10:15:00-05:00|40.7520038/-73.9287806|40.7520038|-73.9287806|1437|7927|1572|-73.9932975|40.7295629|40.774059|-73.871857|n/a|9077|1380|-73.928781|40.752039
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 10:15:00-05:00|40.7465008/-73.8910021|40.7465008|-73.8910021|1417|12115|1491|-73.9932975|40.7295629|40.774059|-73.871857|n/a|5103|540|-73.890689|40.746515
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 10:15:00-05:00|40.7530768/-73.9069949|40.7530768|-73.9069949|1565|12806|1604|-73.9932975|40.7295629|40.774059|-73.871857|n/a|6730|1080|-73.9071013|40.7531039
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 10:15:00-05:00|40.7647873/-73.9664645|40.7647873|-73.9664645|1184|5285|1391|-73.9932975|40.7295629|40.774059|-73.871857|n/a|12197|1500|-73.966113|40.764629
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 10:15:00-05:00|40.754101/-73.9423347|40.754101|-73.9423347|1299|7212|1361|-73.9932975|40.7295629|40.774059|-73.871857|n/a|9907|1260|-73.9424742|40.7541777
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 10:30:00-05:00|40.746543/-73.890732|40.746543|-73.890732|n/a|13392|2082|-73.9943326|40.7285304|40.7714389|-73.8718939|409|4624|414|-73.890765|40.7464059
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 10:30:00-05:00|40.774059/-73.871857|40.774059|-73.871857|n/a|18252|2619|-73.9943326|40.7285304|40.7734911|-73.8758586|85|334|96|-73.8720814|40.7740263
New York University|||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 10:45:00-05:00||40.7714389|-73.8718939|1603|15864|1475|-73.9997754|40.7271183|||||||
New York University|||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 11:00:00-05:00||40.774059|-73.871857|n/a|18252|2619|-73.9943326|40.7285304|||||||
New York University|||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 11:15:00-05:00||40.774059|-73.871857|n/a|18252|2619|-73.9943326|40.7285304|||||||
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 11:00:00-05:00|40.73101/-74.0013002|40.73101|-74.0013002|122|254|130|-74.0001873|40.7313277|40.774059|-73.871857|n/a|17606|2340|-74.0012201|40.7311041
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 11:00:00-05:00|40.7578741/-73.9819016|40.7578741|-73.9819016|1041|4745|1302|-73.9932975|40.7295629|40.774059|-73.871857|n/a|14210|2220|-73.9817907|40.7578276
New York University||finish|tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-13 11:00:00-05:00|40.7520038/-73.9287806|40.7520038|-73.9287806|1484|7927|1572|-73.9932975|40.7295629|40.774059|-73.871857|n/a|9077|1800|-73.928781|40.752039
